idx,title,etc,description,review_sadness,review_joy,review_fear,review_disgust,review_anger,description_cluster,url,,
8,The Hitchhiker's Guide to the Galaxy: Quintessential Phase,Douglas Adams,"Panic! It's the last installment of The Hitchhiker's Guide to the Galaxy, with a brand new full-cast dramatization of Mostly Harmless, the final book in Douglas Adams' famous \trilogy in five parts.\ While frequent flyer Arthur Dent searches the universe for his lost love, Ford Prefect discovers a disturbing blast from the past at. The Hitchhiker's Guide HQ. Meanwhile, on,Panic! It's the last installment of The Hitchhiker's Guide to the Galaxy, with a brand new full-cast dramatization of Mostly Harmless, the final book in Douglas Adams' famous \trilogy in five parts.\ While frequent flyer Arthur Dent searches the universe for his lost love, Ford Prefect discovers a disturbing blast from the past at. The Hitchhiker's Guide HQ. Meanwhile, on one of many versions of Earth, a blonder, more American Trillian gets tangled up with a party of lost aliens having an identity crisis. A stolen ship, a dramatic stampede, and a new and sinister Guide lead to a race to save the earth. . .again.",0.257625,0.692375,0.022943,0.020531,0.016428,4,https://whatdoido.kro.kr/movie/8.jpg,,
67,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,"This amazing and complex epic, combining politics, religion, human evolution, and ecology, has captured the imagination of generations of readers. One of the most popular science fiction novels ever written, it has become a worldwide phenomenon, winning awards, selling millions of copies around the world. In the prophetic year of 1984,,This amazing and complex epic, combining politics, religion, human evolution, and ecology, has captured the imagination of generations of readers. One of the most popular science fiction novels ever written, it has become a worldwide phenomenon, winning awards, selling millions of copies around the world. In the prophetic year of 1984,,was made into a motion picture directed by David Lynch, and it has recently been produced as a three-part miniseries on the Sci-Fi Channel. Though he is best remembered for,, Frank Herbert was the author of more than twenty books at the time of his tragic death in 1986, including such classic novels as,and,.,Brian Herbert, Frank Herbert's eldest son, tells the provocative story of his father's extraordinary life in this honest and loving chronicle. He has also brought to light all the events in Herbert's life that would find their way into speculative fiction's greatest epic.,From his early years in Tacoma, Washington, and his education at the University of Washington, Seattle, and in the Navy, through the years of trying his hand as a TV cameraman, radio commentator, reporter, and editor of several West Coast newspaper, to the difficult years of poverty while struggling to become a published writer, Herbert worked long and hard before finding success after the publication of,in 1965. Brian Herbert writes about these years with a truthful intensity that brings every facet of his father's brilliant, and sometimes troubled, genius to full light.,Insightful and provocative, containing family photos never published anywhere, this absorbing biography offers Brian Herbert' unique personal perspective on one of the most enigmatic and creative talents of our time.,is a 2004 Hugo Award Nominee for Best Related Work.",0.145809,0.757051,0.012597,0.042887,0.048712,0,https://whatdoido.kro.kr/movie/67.jpg,,
105,The Untouchables,"Eliot Ness,Oscar Fraley","is the gripping true story of the team of men who broke the back of the vicious Chicago crime mob and its stranglehold on the nation, told by the man who orchestrated the effort. Enormously successful as a long-running TV series,,should leap onto the bestseller lists when released as a major motion picture in June, starring Robert DeNiro a,is the gripping true story of the team of men who broke the back of the vicious Chicago crime mob and its stranglehold on the nation, told by the man who orchestrated the effort. Enormously successful as a long-running TV series,,should leap onto the bestseller lists when released as a major motion picture in June, starring Robert DeNiro and Sean Connery.",0.014632,0.928754,0.005012,0.013736,0.021562,0,https://whatdoido.kro.kr/movie/105.jpg,,
150,A Book of Nonsense,Edward Lear,"The owls, hen, larks, and their nests in his beard, are among the fey fauna and peculiar persons inhabiting the uniquely inspired nonsense rhymes and drawings of Lear 20th child of a London stockbroker, whose,, first published in 1846, stands alone as the ultimate and most loved expression in English of freewheeling, benign, and unconstricted merriment.",0.03353,0.822213,0.01108,0.008646,0.005243,1,https://whatdoido.kro.kr/movie/150.jpg,,
245,Your Call Is Important to Us: The Truth About Bullshit,Laura Penny,"?There is so much bullshit that one hardly knows where to begin...??Taking no prisoners, author Laura Penny dissects?no, disembowels?the culture of globalized, supersized, consumerized bullshit, from Bush?s White House, with its ?wallpaper of phony populist sloganeering,??to Big Pharma, with its ?gateway prescription drugs.??With vinegar and wit, she shows us how this smorg,?There is so much bullshit that one hardly knows where to begin...??Taking no prisoners, author Laura Penny dissects?no, disembowels?the culture of globalized, supersized, consumerized bullshit, from Bush?s White House, with its ?wallpaper of phony populist sloganeering,??to Big Pharma, with its ?gateway prescription drugs.??With vinegar and wit, she shows us how this smorgasbord of phoniness alienates us from one another, breeds apathy, and makes us just plain stupid.,Decoding the Bullshit: A Few Choice Phrases,?astroturfing: the fabrication of phony grassroots concern by PR firms,?Capra-corny: see Tom DeLay?s Mr. Smith Goes to Washington spin on his conversion to politics from his previous calling bug murderer,?increased productivity: business-speak for getting rid of the people who produce things,?kakistocracy: government by the worst citizens; see also plutocracy, Republican Revolution,?the Lady Hal: the recorded female voice that says things like ?Your call is important to us???think-of-the-childrenism: the ultimate equal-opportunity piety; see No Child Left Behind Act,?The War on Some Drugs: the prohibition of venerable old substances for the benefit of the manufacturers of newfangled patented ones",0.105058,0.802895,0.040797,0.01434,0.006139,2,https://whatdoido.kro.kr/movie/245.jpg,,
299,Collected Poems,Paul Auster,"Paul Auster's penetrating and charged verse resembles little else in recent American poetry. This collection of Auster's poetry, translations, and composition notes from early in his career do much to reinforce the idea that Paul Auster is, indeed, a unique and masterful figure in the literary world. Taut, densely lyrical, and everywhere informed by a powerful and subtle m,Paul Auster's penetrating and charged verse resembles little else in recent American poetry. This collection of Auster's poetry, translations, and composition notes from early in his career do much to reinforce the idea that Paul Auster is, indeed, a unique and masterful figure in the literary world. Taut, densely lyrical, and everywhere informed by a powerful and subtle music, this selection of writings begins with the compact verse fragments of \Spokes\ written when Auster was in his early twenties and \Unearth,\ continues on through the more ample meditations of \Wall Writing, Disappearances, Effigies, Fragments From the Cold, Facing the Music,\ and \White Spaces,\ then moves further back in time to include Auster's revealing translations of many of the French poets who influenced his own writing, as well as the provocative and previously unpublished ?Notes From A Composition Book? 1967. An introduction by Norman Finkelstein connects biographical elements to a consideration of the work, and takes in Auster's early literary and philosophical influences.,Powerful, haunting, and precise, this view from the past to the present will appeal to those unfamiliar with this aspect of Auster's work, as well as those already acquainted with his poetry.",0.016536,0.931909,0.001571,0.018422,0.009003,1,https://whatdoido.kro.kr/movie/299.jpg,,
382,The Rock Art of Texas Indians,"William W. Newcomb,Forrest Kirkland","In The Rock Art of Texas Indians, Kirkland's meticulous watercolor copies of this rich and diversified art are reproduced, 32 in full color, the rest in black and white. The informative and engaging text is contributed by W. W. Newcomb, Jr., former director of the Texas Memorial Museum and author of The Indians of Texas. Those early Indians, at different times and places a,In The Rock Art of Texas Indians, Kirkland's meticulous watercolor copies of this rich and diversified art are reproduced, 32 in full color, the rest in black and white. The informative and engaging text is contributed by W. W. Newcomb, Jr., former director of the Texas Memorial Museum and author of The Indians of Texas. Those early Indians, at different times and places and in a variety of styles, carved and painted their art from Paint Rock in West Central Texas to the canyons of the Big Bend, from the Canadian River Valley in the Panhandle to the Hueco Tanks near El Paso. As the form for this art was varied, so too were the reasons for its execution. Much rock art was no doubt born of magical and religious beliefs, or served to illustrate myths, but some apparently commemorated actual events and some seems to have been only tallies or messages. Kirkland recorded it all with consummate skill, preserving for other generations, as he said he would, the often remarkable, always fascinating art of vanished people.",0.042746,0.875239,0.05244,0.005895,0.024077,1,https://whatdoido.kro.kr/movie/382.jpg,,
461,The Natural,"Bernard Malamud,Kevin Baker","Introduction by Kevin Baker,, Bernard Malamud's first novel, published in 1952, is also the first?and some would say still the best?novel ever written about baseball. In it Malamud, usually appreciated for his unerring portrayals of postwar Jewish life, took on very different material?the,Introduction by Kevin Baker,, Bernard Malamud's first novel, published in 1952, is also the first?and some would say still the best?novel ever written about baseball. In it Malamud, usually appreciated for his unerring portrayals of postwar Jewish life, took on very different material?the story of a superbly gifted \natural\ at play in the fields of the old daylight baseball era?and invested it with the hardscrabble poetry, at once grand and altogether believable, that runs through all his best work. Four decades later, Alfred Kazin's comment still holds true: \Malamud has done something which?now that he has done it!?looks as if we have been waiting for it all our lives. He has really raised the whole passion and craziness and fanaticism of baseball as a popular spectacle to its ordained place in mythology.\",0.645384,0.014916,0.162833,0.250416,0.272462,1,https://whatdoido.kro.kr/movie/461.jpg,,
594,Of Mice and Men,John Steinbeck,"An intimate portrait of two men who cherish the slim bond between them and the dream they share in a world marred by petty tyranny, misunderstanding, jealousy, and callousness. Clinging to each other in their Loneliness and alienation, George and his simple-minded friend Lenny dream, as drifters will, of a place to call their own?a couple of acres and a few pigs, chickens,,An intimate portrait of two men who cherish the slim bond between them and the dream they share in a world marred by petty tyranny, misunderstanding, jealousy, and callousness. Clinging to each other in their Loneliness and alienation, George and his simple-minded friend Lenny dream, as drifters will, of a place to call their own?a couple of acres and a few pigs, chickens, and rabbits back in Hill Country where land is cheap. But after they come to work on a ranch in the fer- tile Salinas Valley of California, their hopes, like \the best laid schemes o' mice an' men,\ begin to go awry.,Of Mice and Men also represents an experiment in form, as Steinbeck described his work, \a kind of playable novel, written in novel form but so scened and set that it can be played as it stands.\ A rarity in American letters, it achieved remarkable success as a novel, a Broadway play, and three acclaimed films. Steinbeck's tale of commitment, loneliness, hope, and loss remains one of America's most widely read and beloved novels.,--front flap",0.068111,0.743805,0.082005,0.038498,0.11179,3,https://whatdoido.kro.kr/movie/594.jpg,,
833,Kiowa Trail,"Louis L'Amour,Ron McLarty","Kate Lundy, owner of the Tumbling B, and Conn Dury, her foreman, told Tom the rules: men from the cattle drives are forbidden on the north side of town. People appreciated the money the cowboys spent but thought them too coarse to be near their homes. Enticed to come calling by Linda McDonald, daughter of one of the leading citizens, Tom Lundy broke the law and crossed the,Kate Lundy, owner of the Tumbling B, and Conn Dury, her foreman, told Tom the rules: men from the cattle drives are forbidden on the north side of town. People appreciated the money the cowboys spent but thought them too coarse to be near their homes. Enticed to come calling by Linda McDonald, daughter of one of the leading citizens, Tom Lundy broke the law and crossed the line. Later that night, he was dead.,Outraged by her brother?s murder, Kate vows to destroy the entire town. But when Aaron McDonald sends east for an army of hired guns, Conn Dury and the men of the Tumbling B soon wonder if the price of Kate?s revenge is too high.",0.278878,0.709032,0.007235,0.002565,0.004315,2,https://whatdoido.kro.kr/movie/833.jpg,,
