idx,title,etc,description,title_en,description_en,rating,review_sadness,review_joy,review_fear,review_disgust,review_anger,url
0,잭 스나이더의 저스티스 리그(Zack Snyder's Justice League),Action Adventure Fantasy,"기다렸던 감독판, 잭 스나이더의 저스티스 리그슈퍼맨이 죽고 지구에 어둠의 그림자가 드리운다. ‘마더박스’를 차지하기 위해 빌런 스테픈울프가 파라데몬 군단을 이끌고 지구에 온 것이다. 지구를 지키기 위해 목숨을 바친 슈퍼맨의 희생이 헛되지 않도록 하기 위해 브루스 웨인은 다이애나 프린스와 적에 맞서기로 한다. 배트맨과 원더 우먼은 새로이 등장한 위협에 맞서 싸우기 위해 특별한 능력을 가진 메타휴먼, 아쿠아맨과 사이보그, 플래시를 찾아가 설득하여 힘을 합친다. 드디어 한 팀이 된 저스티스 리그. 혹시 스테픈울프와 데사드 그리고 다크사이드를 물리치기에 너무 늦어버린 것이 아닐까?",Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",10,0.101866,0.612359,0.042446,0.031486,0.011162,https://whatdoido.kro.kr/movie/0.jpg
1,어벤져스: 엔드게임(Avengers: Endgame),Action Adventure Drama,인피니티 워 이후 절반만 살아남은 지구마지막 희망이 된 어벤져스 먼저 떠난 그들을 위해 모든 것을 걸었다! 위대한 어벤져스운명을 바꿀 최후의 전쟁이 펼쳐진다!,Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",1,0.420253,0.104184,0.50252,0.170522,0.076802,https://whatdoido.kro.kr/movie/1.jpg
2,사운드 오브 메탈(Sound of Metal),Drama Music,"영화 [사운드 오브 메탈]은 헤비메탈 그룹 블랙하몬의 드러머 루벤과 보컬 루.A의 이야기다. 심장을 요동치게 하는 헤비메탈의 중심인 드럼. 드러머인 루벤은 약물 중독자였고, 지금은 약을 끊은 상태다. 그러던 어느 날 갑자기 귀가 들리지 않게 되면서 루벤의 삶은 완전히 달라진다. 그의 삶에 버팀목이었던 드럼마저도 그의 손에서 잃을 수밖에 없는 상황이니.3",Sound of Metal,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,,0.117889,0.777012,0.020969,0.007879,0.036071,https://whatdoido.kro.kr/movie/2.jpg
3,트라이얼 오브 더 시카고 7 (The Trial of the Chicago 7),Drama History Thriller,"1968년 시카고, 민주당 전당대회에서 평화롭게 시작했던 반전 시위가경찰 및 주 방위군과 대치하는 폭력 시위로 변하면서7명의 시위 주동자 ‘시카고 7’이 기소되었던 악명 높은 재판을 다룬 이야기",The Trial of the Chicago 7,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",8,0.078815,0.756471,0.065774,0.087054,0.02815,https://whatdoido.kro.kr/movie/3.jpg
4,소울(Soul),Animation Adventure Comedy,"나는 어떻게 ‘나’로 태어나게 되었을까?지구에 오기 전 영혼들이 머무는 ‘태어나기 전 세상’이 있다면?뉴욕에서 음악 선생님으로 일하던 ‘조’는꿈에 그리던 최고의 밴드와 재즈 클럽에서 연주하게 된 그 날,예기치 못한 사고로 영혼이 되어 ‘태어나기 전 세상’에 떨어진다.탄생 전 영혼들이 멘토와 함께 자신의 관심사를 발견하면 지구 통행증을 발급하는 ‘태어나기 전 세상’‘조’는 그 곳에서 유일하게 지구에 가고 싶어하지 않는 시니컬한 영혼 ‘22’의 멘토가 된다.링컨, 간디, 테레사 수녀도 멘토되길 포기한 영혼 ‘22’꿈의 무대에 서려면 ‘22’의 지구 통행증이 필요한 ‘조’그는 다시 지구로 돌아가 꿈의 무대에 설 수 있을까?",Soul,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",10,0.073239,0.827449,0.027331,0.031462,0.032511,https://whatdoido.kro.kr/movie/4.jpg
5,슬리퍼스(Sleepers),Crime Drama Thriller,"뉴욕 뒷골목에서 우정을 나누며 사는 세익스, 마이클, 존, 토미 네 소년은 밤이면 갱단의 두목으로 변하는 킹 베니를 따라다니며 즐거운 한때를 보낸다. 어느날 무심코 한 장난이 노인을 죽음에 이르게 하자 소년들은 모두 구속되어 실형을 받는다. 소년원에 구금된 이후 간수 녹스와 감방 동료들에게 상습적인 구타와 모욕, 약물 투여로 심신이 황폐해진 소년들은 14년이 지난 후 다시 녹스를 만나게 된다",Sleepers,"After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge.",6,0.256426,0.242192,0.373116,0.101274,0.243351,https://whatdoido.kro.kr/movie/5.jpg
6,나이브즈 아웃(Knives Out),Comedy Crime Drama,베스트셀러 미스터리 작가가 85세 생일에 숨진 채 발견된다.그의 죽음의 원인을 파헤치기 위해 경찰과 함께 탐정 브누아 블랑이 파견 되는데…,Knives Out,"A detective investigates the death of a patriarch of an eccentric, combative family.",5,0.268492,0.195009,0.252744,0.142994,0.366089,https://whatdoido.kro.kr/movie/6.jpg
7,쇼생크 탈출(The Shawshank Redemption),Drama,"두려움은 너를 죄수로 가두고 희망은 너를 자유롭게 하리라촉망 받던 은행 부지점장 ‘앤디(팀 로빈슨 分)’는 아내와 그 애인을 살해한 혐의로 종신형을 받고 쇼생크 교도소에 수감된다. 강력범들이 수감된 이곳에서 재소자들은 짐승 취급 당하고, 혹여 간수 눈에 잘못 보였다가는 개죽음 당하기 십상이다. 처음엔 적응 못하던 ‘앤디’는 교도소 내 모든 물건을 구해주는 ‘레드(모건 프리먼 分)’와 친해지며 교도소 생활에 적응하려 하지만, 악질 재소자에게 걸려 강간까지 당한다.그러던 어느 날, 간수장의 세금 면제를 도와주며 간수들의 비공식 회계사로 일하게 되고, 마침내는 소장의 검은 돈까지 관리해주게 된다.덕분에 교도소 내 도서관을 열 수 있게 되었을 무렵, 신참내기 ‘토미(길 벨로우스 分)’로부터 ‘앤디’의 무죄를 입증할 기회를 얻지만,노튼 소장은 ‘앤디’를 독방에 가두고 ‘토미’를 무참히 죽여버리는데...",The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",9,0.043982,0.599932,0.018476,0.223198,0.07897,https://whatdoido.kro.kr/movie/7.jpg
8,다크 나이트(The Dark Knight),Action Crime Drama,"정의로운 지방 검사 ‘하비 덴트’, ‘짐 고든’ 반장과 함께 범죄 소탕 작전을 펼치며범죄와 부패로 들끓는 고담시를 지켜나가는 ‘배트맨’그러던 어느 날, 살아남기 위해 발버둥치던 범죄 조직은 배트맨을 제거하기 위해광기어린 악당 ‘조커’를 끌어들이고정체를 알 수 없는 조커의 등장에 고담시 전체가 깊은 혼돈 속으로 빠져든다.급기야 배트맨을 향한 강한 집착을 드러낸 조커는그가 시민들 앞에 정체를 밝힐 때까지 매일 새로운 사람들을 죽이겠다 선포하고배트맨은 사상 최악의 악당 조커를 막기 위해 자신의 모든 것을 내던진 마지막 대결을 준비한다.",The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",10,0.03099,0.85282,0.067019,0.018201,0.030686,https://whatdoido.kro.kr/movie/8.jpg
9,어벤져스: 인피니티 워 (Avengers: Infinity War),Action Adventure Sci-Fi,어벤져스: 인피니티 워는 마블 스튜디오가 제작하고 월트 디즈니 스튜디오스 모션 픽쳐스가 배급하는 2018년 개봉한 미국 슈퍼히어로 영화로 마블 코믹스의 어벤저스에 기초하여 만들어졌다.,Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,10,0.340197,0.604696,0.038112,0.003983,0.013565,https://whatdoido.kro.kr/movie/9.jpg
